type,title,date_added,release_year,rating,description
Movie,You've Got This,02-Oct-20,2020,TV-MA,An ad creative and a successful exec have a great marriage — until he wants to be a dad just as her star is rising. Then he brings someone new home.
Movie,All Because of You,01-Oct-20,2020,TV-PG,"After falling for a guest, an unsuspecting hotel staff becomes embroiled in a hostage scheme and discovers true love in an unlikely place."
Movie,An Ordinary Man,01-Oct-20,2017,R,"A war criminal in hiding begins to suspect that the maid, his only confidant and contact with the outside world, may be hiding something herself."
Movie,Carlos Almaraz: Playing with Fire,01-Oct-20,2019,TV-14,"Mixing archival footage with interviews, this film celebrates one of Los Angeles's most influential painters and Chicano art activists from the 1970s."
Movie,Cold Harbour,01-Oct-20,2013,TV-MA,"When a war breaks out between competing gangs of smugglers in Cape Town, South Africa, an honest cop is pressured to work for a powerful crime lord."
TV Show,Evil,01-Oct-20,2019,TV-14,A forensic psychologist partners with a Catholic priest-in-training to investigate miracles and demonic possession in this supernatural drama.
TV Show,Familiar Wife,01-Oct-20,2018,TV-MA,"After receiving a bizarre chance to go back in time, a man wakes up to find that his whole life — including the person he married — is different."
TV Show,Food Wars!: Shokugeki no Soma,01-Oct-20,2016,TV-MA,"Young chef Soma enters the prestigious Totsuki Culinary Academy, where he must emerge victorious in over-the-top cooking battles or face expulsion."
Movie,Free State of Jones,01-Oct-20,2016,R,A Mississippi farmer turns outlaw as he leads a ragtag band of fellow Civil War deserters and escaped slaves in a rebellion against the Confederacy.
TV Show,"Good Morning, Verônica",01-Oct-20,2020,TV-MA,"While hunting for a dating-site predator, an underused cop discovers a husband and wife with a horrific secret — and a web of conspiracy hiding it."
Movie,Human Nature,01-Oct-20,2019,TV-14,"From breakthrough science to the boundaries of morality, this documentary spotlights a revelation in genetic modification research known as CRISPR."
Movie,Hunt for the Wilderpeople,01-Oct-20,2016,PG-13,A misadventure in the wilderness leads to life-changing discoveries for a troubled orphan teen from the city and his belligerent foster father.
Movie,I'm Leaving Now,01-Oct-20,2019,TV-MA,"In this evocative documentary, an undocumented immigrant plans to return to Mexico after 16 years but his family tells him he needs to stay in the US."
TV Show,Journey of an African Colony,01-Oct-20,2018,TV-MA,This docuseries delves into the untold stories and unsung heroes that paved Nigeria's road to independence. Based on the books by host Olasupo Shasore.
TV Show,Oktoberfest: Beer & Blood,01-Oct-20,2020,TV-MA,"In 1900 Munich, ambitious brewer Curt Prank uses brutal tactics on his quest to build a beer hall that will dominate the city's lucrative Oktoberfest."
Movie,Rize,01-Oct-20,2005,PG-13,"This documentary explores ""krumping,"" a fast-paced urban dance, and follows the man that originated the phenomenon in South Central Los Angeles."
TV Show,Secreto bien guardado,01-Oct-20,2019,TV-MA,"In 1940 Argentina, a Jewish 17-year-old on vacation with her family falls in love with a young Nazi lawyer staying at the same hotel."
TV Show,Sword Art Online,01-Oct-20,2018,TV-MA,A video game whiz helps create a new technology that enables players to guide their online avatars with their own bodies – but a dark twist emerges.
Movie,The American Game,01-Oct-20,2019,TV-PG,A financially struggling young couple's relationship is tested when the CEO of the company they work for tempts them with a nearly irresistible offer.
Movie,The Book of Sun,01-Oct-20,2020,TV-14,"A high school senior sets out to make a no-budget horror film with his friend, one-time rival and teacher, but the project soon jeopardizes their future."
Movie,The Outpost,01-Oct-20,2020,R,A group of vastly outnumbered U.S. soldiers at a remote Afghanistan base must fend off a brutal offensive by Taliban fighters in the Battle of Kamdesh.
TV Show,The Parkers,01-Oct-20,2003,TV-PG,"In this ""Moesha"" spinoff, undergraduate Kim is joined at Santa Monica College by her mother Nikki, who decides to go back to school with her daughter."
TV Show,The Unicorn,01-Oct-20,2019,TV-14,"A widowed father of two girls navigates the world of dating, surprised to learn that many women consider him a hot commodity."
Movie,We Have Always Lived in the Castle,01-Oct-20,2018,TV-14,The fragile and secretive world of two sisters and their uncle crumbles when their charming cousin arrives with eyes toward the family fortune.
TV Show,You Cannot Hide,01-Oct-20,2020,TV-MA,"A nurse and her daughter flee her husband’s drug-trafficking past in Mexico and assume new identities in Spain, but still face danger in Madrid."
Movie,American Murder: The Family Next Door,30-Sep-20,2020,TV-MA,"Using raw, firsthand footage, this documentary examines the disappearance of Shanann Watts and her children, and the terrible events that followed."
Movie,Baxu and the Giants,30-Sep-20,2019,TV-PG,A young girl grows increasingly concerned about the rhino poaching in her village when it begins to directly impact her impoverished family.
TV Show,Black Butler,30-Sep-20,2010,TV-MA,"In Victorian London, 12-year-old business magnate Ciel Phantomhive thwarts dangers to the queen as he's watched over by his demon butler, Sebastian."
TV Show,Man with a Plan,30-Sep-20,2020,TV-PG,"When his wife Andi returns to work, contractor Adam Burns becomes a stay-at-home dad and discovers that parenting is a tougher job than he realized."
Movie,Poacher,30-Sep-20,2018,TV-MA,A daring farmer steals illicit ivory from a group of international terrorists and must elude their dangerous and deadly games.
Movie,The Boys in the Band,30-Sep-20,2020,R,"At a birthday party in 1968 New York, a surprise guest and a drunken game leave seven gay friends reckoning with unspoken feelings and buried truths."
Movie,The Boys in the Band: Something Personal,30-Sep-20,2020,TV-MA,"Decades after his play first put gay life center stage, Mart Crowley joins the cast and crew of the 2020 film to reflect on the story's enduring legacy."
TV Show,Wentworth,30-Sep-20,2020,TV-MA,Bea Smith is locked up while awaiting trial for the alleged attempted murder of her husband and must learn how life works in prison.
Movie,Bully,29-Sep-20,2012,PG-13,This eye-opening documentary tracks the stories of five different families whose children are struggling to defend themselves from school bullies.
Movie,Michelle Buteau: Welcome to Buteaupia,29-Sep-20,2020,TV-MA,"Scene-stealing queen Michelle Buteau dazzles with real talk on relationships, parenthood, cultural differences and the government workers who adore her."
Movie,Welcome to Sudden Death,29-Sep-20,2020,R,"At a basketball game, an ex-Special Forces officer must face a group of tech-savvy hostiles when a team owner and his daughter are taken hostage."
Movie,Amandla! A Revolution in Four Part Harmony,28-Sep-20,2002,PG-13,This documentary recounts the fascinating and little-known role that music has played in the struggle to eradicate apartheid in South Africa.
Movie,Ankhon Dekhi,28-Sep-20,2013,TV-PG,"After a distressing incident, a Delhi man vows to believe only what he can see, but his new ideals soon take his life in extreme directions."
Movie,Dedh Ishqiya,28-Sep-20,2014,TV-14,"After failing to win the heart of an aristocrat's widow, a thief plans to abduct her, only to discover that there are others with the same idea."
Movie,Golmaal Returns,28-Sep-20,2008,TV-MA,A man's relationship with his jealous wife enters choppy waters after he has to spend a night on a yacht with a woman he's rescued from gangsters.
Movie,Ishq Vishk,28-Sep-20,2003,TV-PG,"When the duplicitous Rajiv expresses his love for Payal, a cruel lie kicks off a story of self-discovery and unexpected romance."
Movie,Ishqiya,28-Sep-20,2009,TV-14,A deceitful woman seduces two of her late husband’s crooked friends into helping her hatch a nefarious kidnapping plot for a hefty ransom.
Movie,Jab We Met,28-Sep-20,2007,TV-14,Changing fortunes await a wealthy but dejected industrialist when he meets a spirited chatterbox on a train in this breezy Bollywood romantic comedy.
Movie,Mann,28-Sep-20,1999,TV-14,"A smooth talker falls for a music teacher aboard a cruise, but a cruel twist of fate hinders their plans to meet again months later."
Movie,Manorama Six Feet Under,28-Sep-20,2007,TV-14,"A government employee and aspiring crime writer, who is under investigation for corruption, is asked by a politician's wife to spy on her husband."
Movie,Welcome,28-Sep-20,2007,TV-PG,"In this silly Bollywood farce, the brothers of a Mafia princess set out on a comical mission to marry their sister into a respectable family."
TV Show,"Whose Vote Counts, Explained",28-Sep-20,2020,TV-PG,"The right to vote is at the foundation of America's democracy. But not every vote is created equal. How does the system work, and can it be fixed?"
TV Show,Van Helsing,27-Sep-20,2019,TV-MA,"After three years in a coma, Vanessa awakens to a world ravaged by vampires. Now, she and a motley band of fellow survivors fight to stay alive."
TV Show,The Good Place,26-Sep-20,2020,TV-14,"Due to an error, self-absorbed Eleanor Shellstrop arrives at the Good Place after her death. Determined to stay, she tries to become a better person."
Movie,Time Out,26-Sep-20,2015,TV-14,"Raised in the privileged bubble of Delhi's elite, a teen is compelled to question his outlook on life and love when his older brother comes out as gay."
TV Show,A Perfect Crime,25-Sep-20,2020,TV-14,"This docuseries investigates the 1991 killing of politician Detlev Rohwedder, an unsolved mystery at the heart of Germany's tumultuous reunification."
TV Show,Mighty Little Bheem,25-Sep-20,2020,TV-Y,An innocent toddler’s boundless curiosity – and extraordinary might – lead to mischief and adventure in his small Indian town.
Movie,My Mother's Wound,25-Sep-20,2016,TV-MA,"After leaving the orphanage where he was raised, a teen searches for his family only to find work at a farm, where secrets of the past begin to surface."
TV Show,Sneakerheads,25-Sep-20,2020,TV-MA,Family man Devin falls back into his sneaker obsession after his pal Bobby talks him into a wheeling-dealing scheme to score a mythical pair of kicks.
TV Show,The School Nurse Files,25-Sep-20,2020,TV-MA,"Wielding a light-up sword through the dark corners of a high school, a nurse with an unusual gift protects students from monsters only she can see."
Movie,Zulu Man in Japan,25-Sep-20,2019,TV-MA,"In this documentary, South African rapper Nasty C hits the stage and streets of Tokyo, introducing himself to the city's sights, sounds and culture."
Movie,Real Steel,24-Sep-20,2011,PG-13,A struggling fighter-turned-promoter reconnects with his estranged son to convert an old-generation robot into a mighty World Robot Boxing contender.
TV Show,The Chef Show,24-Sep-20,2020,TV-MA,"Writer, director and food enthusiast Jon Favreau and chef Roy Choi explore food in and out of the kitchen with accomplished chefs and celebrity friends."
Movie,Enola Holmes,23-Sep-20,2020,PG-13,"While searching for her missing mother, intrepid teen Enola Holmes uses her sleuthing skills to outsmart big brother Sherlock and help a runaway lord."
